UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3146911,01/01/2015,0:20,QUEENS,11358,40.7518471,-73.787862,"(40.7518471, -73.787862)",47 AVENUE,193 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,TRAFFIC CONTROL DISREGARDED,,,,
3146180,01/01/2015,0:20,,,40.7712888,-73.9466928,"(40.7712888, -73.9466928)",,,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,,,,,ANIMALS ACTION,,,,
3146384,01/01/2015,0:21,BROOKLYN,11205,40.6894449,-73.9551212,"(40.6894449, -73.9551212)",BEDFORD AVENUE,LAFAYETTE AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,FATIGUED/DROWSY,UNSPECIFIED,,,
3146013,01/01/2015,0:30,BROOKLYN,11213,40.6738445,-73.9250801,"(40.6738445, -73.9250801)",BUFFALO AVENUE,SAINT MARKS AVENUE,,0,0,0,0,0,0,0,0,BUS,PASSENGER VEHICLE,,,,LOST CONSCIOUSNESS,,,,
3146120,01/01/2015,0:33,,,,,,RICHMOND TERRACE,SOUTH AVENUE,,0,0,0,0,0,0,0,0,UNKNOWN,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3145968,01/01/2015,0:51,BROOKLYN,11203,40.6566844,-73.9298964,"(40.6566844, -73.9298964)",CLARKSON AVENUE,EAST 51 STREET,,2,0,0,0,0,0,2,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,
3146102,01/01/2015,10:00,QUEENS,11105,40.7765195,-73.91592,"(40.7765195, -73.91592)",26 STREET,23 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,ALCOHOL INVOLVEMENT,UNSPECIFIED,UNSPECIFIED,,
3146344,01/01/2015,10:05,BROOKLYN,11203,40.6572811,-73.9473543,"(40.6572811, -73.9473543)",WINTHROP STREET,NEW YORK AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,FATIGUED/DROWSY,UNSPECIFIED,,,
3145900,01/01/2015,10:06,MANHATTAN,10024,40.7872228,-73.9679255,"(40.7872228, -73.9679255)",WEST 89 STREET,CENTRAL PARK WEST,,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3145960,01/01/2015,10:10,BROOKLYN,11223,40.5933231,-73.9646376,"(40.5933231, -73.9646376)",OCEAN PARKWAY,AVENUE W,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
